Layer,Name,GEOID,HDX_2015-2019,HDX_2015-2019_moe
Census tract,Tract 2425,17031242500,37.5,
Census tract,Tract 2426,17031242600,18.7,
Census tract,Tract 2427,17031242700,42.7,
Census tract,Tract 2428,17031242800,7.7,
Census tract,Tract 2429,17031242900,1.3,
Census tract,Tract 2430,17031243000,4.1,
Census tract,Tract 2431,17031243100,4.2,
Census tract,Tract 2432,17031243200,2.1,
Census tract,Tract 2433,17031243300,3.2,
Census tract,Tract 2434,17031243400,5.7,
Census tract,Tract 2435,17031243500,0.8,
Census tract,Tract 2502,17031250200,71.5,
Census tract,Tract 2503,17031250300,78.9,
Census tract,Tract 2504,17031250400,74.6,
Census tract,Tract 2505,17031250500,40.2,
Census tract,Tract 2506,17031250600,71.2,
Census tract,Tract 2507,17031250700,65.3,
Census tract,Tract 2508,17031250800,83.7,
Census tract,Tract 2510,17031251000,95.0,
Census tract,Tract 2511,17031251100,96.6,
Census tract,Tract 2512,17031251200,87.0,
Census tract,Tract 2513,17031251300,85.4,
Census tract,Tract 2514,17031251400,73.3,
Census tract,Tract 2515,17031251500,96.2,
Census tract,Tract 2516,17031251600,86.8,
Census tract,Tract 2517,17031251700,51.7,
Census tract,Tract 2518,17031251800,96.2,
Census tract,Tract 2519,17031251900,97.1,
Census tract,Tract 2520,17031252000,84.5,
Census tract,Tract 2521.01,17031252101,79.2,
Census tract,Tract 2521.02,17031252102,89.1,
Census tract,Tract 2522.01,17031252201,87.1,
Census tract,Tract 2522.02,17031252202,96.6,
Census tract,Tract 2601,17031260100,98.0,
Census tract,Tract 2602,17031260200,92.7,
Census tract,Tract 2603,17031260300,97.8,
Census tract,Tract 2604,17031260400,98.0,
Census tract,Tract 2605,17031260500,96.0,
Census tract,Tract 2606,17031260600,99.7,
Census tract,Tract 2607,17031260700,96.7,
Census tract,Tract 2608,17031260800,96.9,
Census tract,Tract 2609,17031260900,91.1,
Census tract,Tract 2610,17031261000,86.4,
Census tract,Tract 2705,17031270500,97.6,
Census tract,Tract 2712,17031271200,90.0,
Census tract,Tract 2713,17031271300,97.5,
Census tract,Tract 2714,17031271400,94.3,
Census tract,Tract 2715,17031271500,78.3,
Census tract,Tract 2718,17031271800,98.4,
